genus,species,Rain_600_mu,Rain_600_CI,Rain_800_mu,Rain_800_CI,Rain_1000_mu,Rain_1000_CI,Rain_1200_mu,Rain_1200_CI,Rain_1600_mu,Rain_1600_CI,Rain_2000_mu,Rain_2000_CI,Overall_mu,Overall_CI,n
Eucalyptus,Eucalyptus chloroclada,0.33,0.12,0.21,0.15,0.22,0.15,,,,,,,0.22,0.14,
Eucalyptus,Eucalyptus dealbata,0.2,0.07,0.28,0.16,,,,,,,,,0.26,0.13,
Eucalyptus,Eucalyptus decorticans,,,0.19,0.06,,,,,,,,,0.19,0.06,
Eucalyptus,Eucalyptus fibrosa,,,0.19,0.18,,,,,,,,,0.19,0.18,
Eucalyptus,Eucalyptus longirostrata,,,,,,,0.34,0.22,,,,,0.3,0.22,
Eucalyptus,Eucalyptus populnea,0.23,0.23,0.13,0.06,,,,,,,,,0.18,0.13,
Eucalyptus,Eucalyptus racemosa,,,,,,,,,0.32,0.16,0.38,0.17,0.35,0.17,
Eucalyptus,Eucalyptus resinifera,,,,,,,,,0.21,0.14,0.29,0.12,0.23,0.14,
Eucalyptus,Eucalyptus sphaerocarpa,,,0.33,0.11,,,,,,,,,0.33,0.11,
Harpullia,Harpullia pendula,,,,,,,,,0.11,0.07,,,0.17,0.07,
Lophostemon,Lophostemon suaveolens,,,0.2,0.21,0.16,0.09,0.15,0.19,0.11,0.06,,,0.16,0.13,
Lysicarpus,Lysicarpus angustifolius,,,0.11,0.11,0.04,0.02,,,,,,,0.1,0.11,
Melaleuca,Melaleuca alternifolia,,,,,0.1,0.14,0.16,0.1,0.26,0.01,,,0.16,0.1,
Melaleuca,Melaleuca decora,,,0.07,0.09,,,,,,,,,0.07,0.09,
Melaleuca,Melaleuca linariifolia,,,0.11,0.07,,,0.21,0.16,,,,,0.18,0.13,
Schizomeria,Schizomeria ovata,,,,,,,,,0.41,0.16,0.15,0.07,0.31,0.12,
Syncarpia,Syncarpia glomulifera,,,,,,,0.22,0.02,0.32,0.11,0.29,0.17,0.31,0.14,
Syncarpia,Syncarpia hillii,,,,,,,,,0.34,0.18,,,0.34,0.18,
Synoum,Synoum glandulosum,,,,,,,0.08,0.05,0.1,0.05,0.46,0.16,0.18,0.08,
Xylomelum,Xylomelum pyriforme,,,0.17,0.1,,,,,,,,,0.17,0.1,
Acacia,Acacia concurrens,0.48,0.15,,,,,,,,,,,0.48,0.16,
Acacia,Acacia flavescens,,,,,,,0.27,0.09,,,,,0.27,0.09,
Acacia,Acacia leiocalyx,,,,,,,0.26,0.01,,,,,0.26,,
Acacia,Acacia rhodoxylon,,,0.09,0.14,,,,,,,,,0.09,0.14,
Acacia,Acacia sparsiflora,0.39,0.13,,,,,,,,,,,0.39,0.12,
Acronychia,Acronychia wilcoxiana,,,,,,,,,0.09,0.12,,,0.09,0.12,
Alstonia,Alstonia scholaris,,,,,,,0.23,,0.05,0.06,,,0.14,0.06,
Angophora,Angophora woodsiana,,,,,,,,,,,0.09,0.28,0.09,0.27,
Banksia,Banksia serrata,,,,,,,,,0.05,0.05,,,0.05,0.06,
Caldcluvia,Caldcluvia paniculosa,,,,,,,,,0.16,0.05,,,0.16,0.04,
Callicoma,Callicoma serratifolia,,,,,,,,,,,0.12,0.07,0.12,0.08,
Callistemon,Callistemon salignus,,,,,,,,,,,0.1,0.04,0.1,0.04,
Canarium,Canarium australianum,,,,,,,,,0.28,0.02,,,0.28,0.02,
Canarium,Canarium baileyanum,,,,,,,0.42,,0.16,0.14,0.28,0.18,0.23,0.16,
Cassine,Cassine australis,,,,,,,,,,,0.24,0.03,0.24,0.04,
Casuarina,Casuarina cunninghamiana,,,,,0.7,0.32,0.11,,,,,,0.41,0.31,
Ceratopetalum,Ceratopetalum apetalum,,,,,,,,,0.06,0.17,,,0.06,0.16,
Cinnamomum,Cinnamomum laubatii,,,,,,,,,0.43,,,,0.43,,
Cinnamomum,Cinnamomum oliveri,,,,,,,,,0.07,,,,0.07,,
Citronella,Citronella moorei,,,,,,,,,0.27,,,,0.27,,
Corymbia,Corymbia clarksoniana,0.36,0.14,,,,,,,,,,,0.36,0.14,
Corymbia,Corymbia polycarpa,,,0.03,0.02,,,,,,,,,0.03,0.02,
Cryptocarya,Cryptocarya erythroxylon,,,,,,,,,,,0.3,0.08,0.3,0.08,
Cryptocarya,Cryptocarya leucophylla,,,,,,,0.32,0.44,,,,,0.32,0.43,
Cryptocarya,Cryptocarya macdonaldii,,,,,,,,,,,0.1,0.07,0.1,0.06,
Cryptocarya,Cryptocarya microneura,,,,,,,,,0.52,,,,0.52,,
Cyanometra,Cyanometra ramiflora,,,,,,,0.09,0.05,,,,,0.09,0.06,
Daphnandra,Daphnandra micrantha,,,,,,,,,0.01,0.04,,,0.01,0.04,
Dendrocnide,Dendrocnide excelsa,,,,,,,0.51,0.42,,,,,0.51,0.43,
Dendrocnide,Dendrocnide photinophylla,,,,,,,,,0.39,,,,0.39,,
Diospyros,Diospyros fasciculosa,,,,,,,,,0.18,,0.08,0.1,0.13,0.1,
