datasetTitle,siteName,parentSiteName,latitude_Degree,longitude_Degree,plotArea_SquareMetre,plotWidth_Metre,plotLength_Metre,plotShape,siteVisitName,siteVisitStartDate,siteVisitEndDate,featureType,featureId,scientificName,stratumType,mostDominantSpecies,mostDominantSpeciesResultTime,mostDominantSpeciesMethod,secondMostDominantSpecies,secondMostDominantSpeciesResultTime,secondMostDominantSpeciesMethod,thirdMostDominantSpecies,thirdMostDominantSpeciesResultTime,thirdMostDominantSpeciesMethod
TERN Surveillance Monitoring,WAACOO0010,NA,-31.2318,120.33,10000.0,100.0,100.0,square,20131015,2013-10-15T00:00:00,2013-10-15T00:00:00,vegetation stratum,http://linked.data.gov.au/dataset/ausplots/site_visit_id-53441-stratum-mid,N/A,Mid stratum,Acacia sp. Narrow phyllode (B.R.Maslin 7831),2013-10-15T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a,NA,NA,NA,NA,NA,NA
TERN Surveillance Monitoring,WAACOO0008,NA,-31.6095,119.792,10000.0,100.0,100.0,square,20130903,2013-09-03T10:45:00,2014-08-25T12:00:00,vegetation stratum,http://linked.data.gov.au/dataset/ausplots/site_visit_id-53442-stratum-ground,N/A,Ground stratum,Austrostipa nitida,2013-09-03T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a,Templetonia ceracea,2013-09-03T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a,Eucalyptus yilgarnensis,2013-09-03T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a
TERN Surveillance Monitoring,WAACOO0008,NA,-31.6095,119.792,10000.0,100.0,100.0,square,20130903,2013-09-03T10:45:00,2014-08-25T12:00:00,vegetation stratum,http://linked.data.gov.au/dataset/ausplots/site_visit_id-53442-stratum-mid,N/A,Mid stratum,Melaleuca pauperiflora subsp. fastigiata,2013-09-03T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a,Santalum acuminatum,2013-09-03T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a,Eucalyptus yilgarnensis,2013-09-03T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a
TERN Surveillance Monitoring,WAACOO0008,NA,-31.6095,119.792,10000.0,100.0,100.0,square,20130903,2013-09-03T10:45:00,2014-08-25T12:00:00,vegetation stratum,http://linked.data.gov.au/dataset/ausplots/site_visit_id-53442-stratum-upper,N/A,Upper stratum,Eucalyptus yilgarnensis,2013-09-03T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a,Eucalyptus salubris,2013-09-03T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a,Eucalyptus yilgarnensis,2013-09-03T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a
TERN Surveillance Monitoring,WAACOO0009,NA,-31.2391,120.326,10000.0,100.0,100.0,square,20131003,2013-10-03T00:00:00,2013-10-03T00:00:00,vegetation stratum,http://linked.data.gov.au/dataset/ausplots/site_visit_id-53443-stratum-ground,N/A,Ground stratum,Peplidium aithocheilum,2013-10-03T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a,Tecticornia indica subsp. bidens,2013-10-03T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a,Sarcozona praecox,2013-10-03T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a
TERN Surveillance Monitoring,WAACOO0009,NA,-31.2391,120.326,10000.0,100.0,100.0,square,20131003,2013-10-03T00:00:00,2013-10-03T00:00:00,vegetation stratum,http://linked.data.gov.au/dataset/ausplots/site_visit_id-53443-stratum-mid,N/A,Mid stratum,Melaleuca lateriflora,2013-10-03T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a,Callistemon phoeniceus,2013-10-03T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a,NA,NA,NA
TERN Surveillance Monitoring,WAACOO0001,NA,-31.3996,119.519,10000.0,100.0,100.0,square,20130702,2013-07-02T14:18:00,2013-07-02T14:18:00,vegetation stratum,http://linked.data.gov.au/dataset/ausplots/site_visit_id-53444-stratum-ground,N/A,Ground stratum,Allocasuarina spinosissima,2013-07-02T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a,Thryptomene kochii,2013-07-02T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a,Euryomyrtus maidenii,2013-07-02T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a
TERN Surveillance Monitoring,WAACOO0001,NA,-31.3996,119.519,10000.0,100.0,100.0,square,20130702,2013-07-02T14:18:00,2013-07-02T14:18:00,vegetation stratum,http://linked.data.gov.au/dataset/ausplots/site_visit_id-53444-stratum-mid,N/A,Mid stratum,Allocasuarina spinosissima,2013-07-02T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a,Thryptomene kochii,2013-07-02T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a,Euryomyrtus maidenii,2013-07-02T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a
TERN Surveillance Monitoring,WAACOO0001,NA,-31.3996,119.519,10000.0,100.0,100.0,square,20130702,2013-07-02T14:18:00,2013-07-02T14:18:00,vegetation stratum,http://linked.data.gov.au/dataset/ausplots/site_visit_id-53444-stratum-upper,N/A,Upper stratum,Eucalyptus rigidula,2013-07-02T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a,NA,NA,NA,NA,NA,NA
TERN Surveillance Monitoring,WAACOO0002,NA,-31.4017,119.651,10000.0,100.0,100.0,square,20131006,2013-10-06T09:41:00,2013-10-06T09:41:00,vegetation stratum,http://linked.data.gov.au/dataset/ausplots/site_visit_id-53445-stratum-ground,N/A,Ground stratum,Duma florulenta,2013-10-06T00:00:00,http://linked.data.gov.au/def/ausplots-cv/d5685cab-13e7-4939-9d77-1cca9254207a,NA,NA,NA,NA,NA,NA
