"record_id","area","line","number_replicates","tag","x_coordinate","y_coordinate","species_code","species","family","map","dead","height_map","height_1980","height_1986","height_1992","height_1998","height_2006","height_2013","girth_map","girth_1978","girth_1986","girth_1992","girth_1996","girth_2006","girth_2013","index_1","index_2","index_3","index_4","absx","absy","comment"
40945,"2","7",1,22361,1140.2,2.7,100,"Wilkiea huegeliana","Monimiaceae",2015,2017,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,659.8,705.3,""
40946,"2","7",1,22362,1140.2,5.5,81,"Psychotria simmondsiana glabrescens","Rubiaceae",2015,2017,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,659.8,708.1,""
40947,"2","7",1,NA,1140.5,1.6,81,"Psychotria simmondsiana glabrescens","Rubiaceae",2015,2017,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,659.5,704.2,""
40948,"2","7",2,NA,1142.3,3.6,81,"Psychotria simmondsiana glabrescens","Rubiaceae",2015,2017,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,657.7,706.2,""
40949,"2","7",2,NA,1146.5,3.2,81,"Psychotria simmondsiana glabrescens","Rubiaceae",2015,2017,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,653.5,705.8,""
40950,"2","7",1,NA,1149.7,3.9,81,"Psychotria simmondsiana glabrescens","Rubiaceae",2015,2017,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,650.3,706.5,""
40951,"2","7",1,NA,1150.2,-4.2,1,"Caldcluvia paniculosa","Cunoniaceae",2015,2017,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,649.8,698.4,""
40952,"2","7",1,NA,1150.3,-4.8,1,"Caldcluvia paniculosa","Cunoniaceae",2015,2017,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,649.7,697.8,""
40953,"2","7",1,NA,1151.1,-4.9,1,"Caldcluvia paniculosa","Cunoniaceae",2015,2017,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,648.9,697.7,""
40954,"2","7",2,NA,1152,-1.3,1,"Caldcluvia paniculosa","Cunoniaceae",2015,2017,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,648,701.3,""
