Species,Genus,Damage
Lenwebbia prominens,Lenwebbia,0.40907242630384966
Lenwebbia sp. Blackall Range,Lenwebbia,0.4336357517734055
Leptospermum barneyense,Leptospermum,0.07188308458100523
Leptospermum luehmannii,Leptospermum,0.04325440807227343
Leptospermum trinervium,Leptospermum,0.13162844531865225
Mitrantia bilocularis,Mitrantia,0.20774799623642481
Rhodamnia angustifolia,Rhodamnia,0.7046173573713168
Rhodamnia glabrescens,Rhodamnia,0.2712218824425858
Rhodamnia pauciovulata,Rhodamnia,0.3329271003751595
Rhodomyrtus canescens,Rhodomyrtus,0.3347430695076343
Rhodomyrtus effusa,Rhodomyrtus,0.13501710102286202
Rhodomyrtus macrocarpa,Rhodomyrtus,0.2521387860633162
Rhodomyrtus pervagata,Rhodomyrtus,0.23985018689668913
Rhodomyrtus sericea,Rhodomyrtus,0.2428301172771392
Rhodomyrtus tomentosa,Rhodomyrtus,0.46144457316623777
Rhodomyrtus trineura,Rhodomyrtus,0.1260603439619432
Ristantia waterhousei,Ristantia,0.002568029511010206
Ristantia pachysperma,Ristantia,0.1935587301005024
Sphaerantia discolor,Sphaerantia,0.1493276373621757
Stockwellia quadrifida,Stockwellia,0.5138709442193572
Syzygium angophoroides,Syzygium,0.3222904180639423
Syzygium anisatum,Syzygium,0.31793304621492835
Syzygium apodophyllum,Syzygium,0.08714966501431198
Syzygium argyropedicum,Syzygium,0.07014838869653661
Syzygium armstrongii,Syzygium,0.01643609079378061
Syzygium australe,Syzygium,0.013670397184442296
Syzygium bamagense,Syzygium,0.12239765565102112
Syzygium banksii,Syzygium,0.32867573400941685
Syzygium boonjee,Syzygium,0.09387468447498515
Syzygium canicortex,Syzygium,0.09218672287651253
Syzygium claviflorum,Syzygium,0.2852935446718734
Syzygium cormiflorum,Syzygium,0.04631803213681818
Syzygium corynanthum,Syzygium,0.016568463216864115
Syzygium cryptophlebium,Syzygium,0.11611508672612403
Syzygium cumini,Syzygium,0.29396159399880495
Syzygium dansiei,Syzygium,0.04637402084570641
Syzygium endophloium,Syzygium,0.0681263905439784
Syzygium erythrocalyx,Syzygium,0.041324526240964055
Syzygium eucalyptoides,Syzygium,0.35864656041142906
Syzygium eucalyptoide,Syzygium,0.16734239051636246
Syzygium floribundum,Syzygium,0.019291299231855685
Syzygium forte,Syzygium,0.03858396586277668
Syzygium forte ,Syzygium,0.037797496378051854
Syzygium hedraiophyllum,Syzygium,0.04550837077211134
Syzygium hemilamprum,Syzygium,0.08112743083649954
Syzygium ingens,Syzygium,0.024631929571302447
Syzygium jambos,Syzygium,0.5967237025934846
Syzygium kuranda,Syzygium,0.21239640251162095
Syzygium luehmannii,Syzygium,0.24660656791493052
Syzygium maraca,Syzygium,0.06172073992882687
Syzygium minutiflorum,Syzygium,0.04820794896074698
Syzygium nervosum,Syzygium,0.3528214682205144
Syzygium oleosum,Syzygium,0.19162797882196658
Syzygium pseudofastigiatum,Syzygium,0.019612264158119563
Syzygium puberulum,Syzygium,0.14987947852293182
Syzygium suborbiculare,Syzygium,0.22467414120013163
Syzygium tierneyanum,Syzygium,0.10193164466883387
Syzygium unipunctatum,Syzygium,0.06263444280665542
Syzygium wilsonii ,Syzygium,0.05418531086948386
Syzygium wilsonii x luehmannii,Syzygium,0.0011354536205494536
Syzygium xerampelinum,Syzygium,0.20882061042559408
Syzygium aqueum,Syzygium,0.0002921041607035768
Syzygium hodgkinsoniae,Syzygium,0.07217576360019251
Syzygium macilwraithianum,Syzygium,0.31939982353455365
Syzygium moorei,Syzygium,0.032545121282307354
Syzygium mulgraveanum,Syzygium,0.08594630882491061
Syzygium paniculatum,Syzygium,0.051313636378766736
Syzygium rubrimolle,Syzygium,0.02035030505015767
Thryptomene saxicola,Thryptomene,0.23830714256717367
Tristania neriifolia,Tristania,0.2336312213925178
Tristaniopsis exiliflora,Tristaniopsis,0.39481852869798484
Tristaniopsis laurina,Tristaniopsis,0.055609927428010186
Uromyrtus metrosideros,Uromyrtus,0.18652458063192423
Uromyrtus tenella,Uromyrtus,0.051673343025800955
Xanthostemon chrysanthus,Xanthostemon,0.005972728503355285
Xanthostemon fruticosus,Xanthostemon,0.5131396251290883
Xanthostemon youngii,Xanthostemon,0.23749278865613843
Xanthostemon oppositifolius,Xanthostemon,0.425649945577784
