Species,Genus,Damage
,Acacia,0.0
acmena smithii,Acmena,0.0323
acmena smithii,Acmena,0.1333
acmena smithii,Acmena,0.21
archirhodomyrtus beckleri,Archirhodomyrtus,0.9385
archirhodomyrtus beckleri,Archirhodomyrtus,0.9755
archirhodomyrtus beckleri,Archirhodomyrtus,0.9143
baeckea linifolia,Baeckea,0.11
Corymbia maculata,Corymbia,0.0
decaspermum humile,Decaspermum,0.3333
decaspermum humile,Decaspermum,1.0
decaspermum humile,Decaspermum,1.0
Eugenia reinwardtiana,Eugenia,0.5
eugenia koolauensis,Eugenia,0.7
Eucalyptus grandis x Eucalyptus urophylla clone ,Eucalyptus,0.89
Eucalyptus grandis x Eucalyptus urophylla clone ,Eucalyptus,0.34
Eucalyptus grandis ,Eucalyptus,0.23
E. globulus,Eucalyptus,0.0
gossia hillii,Gossia,1.0
gossia hillii,Gossia,0.9687
gossia hillii,Gossia,1.0
Leptospermum laevigatum,Leptospermum,0.24
Lophostemon confertus,Lophostemon,0.0
Melaleuca quinquenervia,Melaleuca,0.45
Melaleuca squarrosa,Melaleuca,0.0
Metrosideros polymorpha,Metrosideros,0.08
rhodamnia maideniana,Rhodamnia,1.0
rhodamnia maideniana,Rhodamnia,0.9342
rhodamnia rubescens,Rhodamnia,0.12
rhodamnia rubescens,Rhodamnia,0.53
rhodomyrtus psidioides,Rhodomyrtus,0.57
Agonis flexuosa,Agonis,0.771017711862318
Asteromyrtus brassii,Asteromyrtus,0.09380593715554841
Austromyrtus dulcis,Austromyrtus,0.590426429377314
Austromyrtus tenuifolia,Austromyrtus,0.03512812933096651
Backhousia angustifolia,Backhousia,0.11801518011838999
Backhousia bancroftii,Backhousia,0.1766115468623392
Backhousia citriodora,Backhousia,0.33393576301986616
Backhousia enata,Backhousia,0.4157925655496138
Backhousia gundarara,Backhousia,0.009578637095895903
Backhousia hughesii,Backhousia,0.30478532548913523
Backhousia leptopetala,Backhousia,0.39469485954386596
Backhousia myrtifolia,Backhousia,0.17616879006681194
Backhousia oligantha,Backhousia,0.27485059168064674
Backhousia sciadophora,Backhousia,0.1810957331017065
Backhousia subargentea,Backhousia,0.13859999249388782
Callistemon formosus,Callistemon,0.1185490179207502
Callistemon pachyphyllus,Callistemon,0.06407913875454145
Callistemon polandii,Callistemon,0.6232565950513999
Callistemon salignus,Callistemon,0.1658064946317953
Callistemon sieberi,Callistemon,0.5186505549324631
