Species,Genus,Damage
,Acacia,0.0
acmena smithii,Acmena,0.0323
acmena smithii,Acmena,0.1333
acmena smithii,Acmena,0.21
archirhodomyrtus beckleri,Archirhodomyrtus,0.9385
archirhodomyrtus beckleri,Archirhodomyrtus,0.9755
archirhodomyrtus beckleri,Archirhodomyrtus,0.9143
baeckea linifolia,Baeckea,0.11
Corymbia maculata,Corymbia,0.0
decaspermum humile,Decaspermum,0.3333
decaspermum humile,Decaspermum,1.0
decaspermum humile,Decaspermum,1.0
Eugenia reinwardtiana,Eugenia,0.5
eugenia koolauensis,Eugenia,0.7
Eucalyptus grandis x Eucalyptus urophylla clone ,Eucalyptus,0.89
Eucalyptus grandis x Eucalyptus urophylla clone ,Eucalyptus,0.34
Eucalyptus grandis ,Eucalyptus,0.23
E. globulus,Eucalyptus,0.0
gossia hillii,Gossia,1.0
gossia hillii,Gossia,0.9687
gossia hillii,Gossia,1.0
Leptospermum laevigatum,Leptospermum,0.24
Lophostemon confertus,Lophostemon,0.0
Melaleuca quinquenervia,Melaleuca,0.45
Melaleuca squarrosa,Melaleuca,0.0
Metrosideros polymorpha,Metrosideros,0.08
rhodamnia maideniana,Rhodamnia,1.0
rhodamnia maideniana,Rhodamnia,0.9342
rhodamnia rubescens,Rhodamnia,0.12
rhodamnia rubescens,Rhodamnia,0.53
rhodomyrtus psidioides,Rhodomyrtus,0.57
Agonis flexuosa,Agonis,0.7787024464412524
Asteromyrtus brassii,Asteromyrtus,0.12087987810905432
Austromyrtus dulcis,Austromyrtus,0.5126800302691277
Austromyrtus tenuifolia,Austromyrtus,0.039392738418612794
Backhousia angustifolia,Backhousia,0.10765729719105144
Backhousia bancroftii,Backhousia,0.042001885276373496
Backhousia citriodora,Backhousia,0.292488393590864
Backhousia enata,Backhousia,0.18839919402560268
Backhousia gundarara,Backhousia,0.10418043379834607
Backhousia hughesii,Backhousia,0.2331818901828724
Backhousia leptopetala,Backhousia,0.2822173161794841
Backhousia myrtifolia,Backhousia,0.021231198943290064
Backhousia oligantha,Backhousia,0.1878109498672238
Backhousia sciadophora,Backhousia,0.12066274607508554
Backhousia subargentea,Backhousia,0.05644900394249053
Callistemon formosus,Callistemon,0.03666518660694873
Callistemon pachyphyllus,Callistemon,0.06246971570660387
Callistemon polandii,Callistemon,0.6192304600884468
Callistemon salignus,Callistemon,0.0017106500420633886
Callistemon sieberi,Callistemon,0.5531415888579692
