Species,Genus,Damage
,Acacia,0.0
acmena smithii,Acmena,0.0323
acmena smithii,Acmena,0.1333
acmena smithii,Acmena,0.21
archirhodomyrtus beckleri,Archirhodomyrtus,0.9385
archirhodomyrtus beckleri,Archirhodomyrtus,0.9755
archirhodomyrtus beckleri,Archirhodomyrtus,0.9143
baeckea linifolia,Baeckea,0.11
Corymbia maculata,Corymbia,0.0
decaspermum humile,Decaspermum,0.3333
decaspermum humile,Decaspermum,1.0
decaspermum humile,Decaspermum,1.0
Eugenia reinwardtiana,Eugenia,0.5
eugenia koolauensis,Eugenia,0.7
Eucalyptus grandis x Eucalyptus urophylla clone ,Eucalyptus,0.89
Eucalyptus grandis x Eucalyptus urophylla clone ,Eucalyptus,0.34
Eucalyptus grandis ,Eucalyptus,0.23
E. globulus,Eucalyptus,0.0
gossia hillii,Gossia,1.0
gossia hillii,Gossia,0.9687
gossia hillii,Gossia,1.0
Leptospermum laevigatum,Leptospermum,0.24
Lophostemon confertus,Lophostemon,0.0
Melaleuca quinquenervia,Melaleuca,0.45
Melaleuca squarrosa,Melaleuca,0.0
Metrosideros polymorpha,Metrosideros,0.08
rhodamnia maideniana,Rhodamnia,1.0
rhodamnia maideniana,Rhodamnia,0.9342
rhodamnia rubescens,Rhodamnia,0.12
rhodamnia rubescens,Rhodamnia,0.53
rhodomyrtus psidioides,Rhodomyrtus,0.57
Agonis flexuosa,Agonis,0.6971700816299569
Asteromyrtus brassii,Asteromyrtus,0.054235433370522834
Austromyrtus dulcis,Austromyrtus,0.3723561821496988
Austromyrtus tenuifolia,Austromyrtus,0.010658055084100226
Backhousia angustifolia,Backhousia,0.0378994016694143
Backhousia bancroftii,Backhousia,0.047193788002754866
Backhousia citriodora,Backhousia,0.11361352749984
Backhousia enata,Backhousia,0.03719494589521988
Backhousia gundarara,Backhousia,0.09068254103020967
Backhousia hughesii,Backhousia,0.1388737047347497
Backhousia leptopetala,Backhousia,0.01003590986727576
Backhousia myrtifolia,Backhousia,0.1594686399853833
Backhousia oligantha,Backhousia,0.22148047550510164
Backhousia sciadophora,Backhousia,0.03482424246124438
Backhousia subargentea,Backhousia,0.0012738473453732801
Callistemon formosus,Callistemon,0.018484843387251537
Callistemon pachyphyllus,Callistemon,0.055261178573333236
Callistemon polandii,Callistemon,0.26776217894646037
Callistemon salignus,Callistemon,0.0563624788921282
Callistemon sieberi,Callistemon,0.27623472020105977
