Species,Genus,Damage
,Acacia,0.0
acmena smithii,Acmena,0.0323
acmena smithii,Acmena,0.1333
acmena smithii,Acmena,0.21
archirhodomyrtus beckleri,Archirhodomyrtus,0.9385
archirhodomyrtus beckleri,Archirhodomyrtus,0.9755
archirhodomyrtus beckleri,Archirhodomyrtus,0.9143
baeckea linifolia,Baeckea,0.11
Corymbia maculata,Corymbia,0.0
decaspermum humile,Decaspermum,0.3333
decaspermum humile,Decaspermum,1.0
decaspermum humile,Decaspermum,1.0
Eugenia reinwardtiana,Eugenia,0.5
eugenia koolauensis,Eugenia,0.7
Eucalyptus grandis x Eucalyptus urophylla clone ,Eucalyptus,0.89
Eucalyptus grandis x Eucalyptus urophylla clone ,Eucalyptus,0.34
Eucalyptus grandis ,Eucalyptus,0.23
E. globulus,Eucalyptus,0.0
gossia hillii,Gossia,1.0
gossia hillii,Gossia,0.9687
gossia hillii,Gossia,1.0
Leptospermum laevigatum,Leptospermum,0.24
Lophostemon confertus,Lophostemon,0.0
Melaleuca quinquenervia,Melaleuca,0.45
Melaleuca squarrosa,Melaleuca,0.0
Metrosideros polymorpha,Metrosideros,0.08
rhodamnia maideniana,Rhodamnia,1.0
rhodamnia maideniana,Rhodamnia,0.9342
rhodamnia rubescens,Rhodamnia,0.12
rhodamnia rubescens,Rhodamnia,0.53
rhodomyrtus psidioides,Rhodomyrtus,0.57
Agonis flexuosa,Agonis,0.7853195537202056
Asteromyrtus brassii,Asteromyrtus,0.045599114856192724
Austromyrtus dulcis,Austromyrtus,0.48749502382320475
Austromyrtus tenuifolia,Austromyrtus,0.09793088625110835
Backhousia angustifolia,Backhousia,0.11627937943089472
Backhousia bancroftii,Backhousia,0.012148964558700293
Backhousia citriodora,Backhousia,0.23156617134143564
Backhousia enata,Backhousia,0.011423479566766481
Backhousia gundarara,Backhousia,0.052765300113916336
Backhousia hughesii,Backhousia,0.3078815851250942
Backhousia leptopetala,Backhousia,0.38570407236601634
Backhousia myrtifolia,Backhousia,0.12375835286933068
Backhousia oligantha,Backhousia,0.5274043530987567
Backhousia sciadophora,Backhousia,0.04976488957709613
Backhousia subargentea,Backhousia,0.02384654640267314
Callistemon formosus,Callistemon,0.1370133283739845
Callistemon pachyphyllus,Callistemon,0.041408368167028975
Callistemon polandii,Callistemon,0.48901202646918085
Callistemon salignus,Callistemon,0.0031954721523086427
Callistemon sieberi,Callistemon,0.45604512905607075
