Species,Genus,Damage
,Acacia,0.0
acmena smithii,Acmena,0.0323
acmena smithii,Acmena,0.1333
acmena smithii,Acmena,0.21
archirhodomyrtus beckleri,Archirhodomyrtus,0.9385
archirhodomyrtus beckleri,Archirhodomyrtus,0.9755
archirhodomyrtus beckleri,Archirhodomyrtus,0.9143
baeckea linifolia,Baeckea,0.11
Corymbia maculata,Corymbia,0.0
decaspermum humile,Decaspermum,0.3333
decaspermum humile,Decaspermum,1.0
decaspermum humile,Decaspermum,1.0
Eugenia reinwardtiana,Eugenia,0.5
eugenia koolauensis,Eugenia,0.7
Eucalyptus grandis x Eucalyptus urophylla clone ,Eucalyptus,0.89
Eucalyptus grandis x Eucalyptus urophylla clone ,Eucalyptus,0.34
Eucalyptus grandis ,Eucalyptus,0.23
E. globulus,Eucalyptus,0.0
gossia hillii,Gossia,1.0
gossia hillii,Gossia,0.9687
gossia hillii,Gossia,1.0
Leptospermum laevigatum,Leptospermum,0.24
Lophostemon confertus,Lophostemon,0.0
Melaleuca quinquenervia,Melaleuca,0.45
Melaleuca squarrosa,Melaleuca,0.0
Metrosideros polymorpha,Metrosideros,0.08
rhodamnia maideniana,Rhodamnia,1.0
rhodamnia maideniana,Rhodamnia,0.9342
rhodamnia rubescens,Rhodamnia,0.12
rhodamnia rubescens,Rhodamnia,0.53
rhodomyrtus psidioides,Rhodomyrtus,0.57
Agonis flexuosa,Agonis,0.6847924412196935
Asteromyrtus brassii,Asteromyrtus,0.04467416971792826
Austromyrtus dulcis,Austromyrtus,0.37508141275653983
Austromyrtus tenuifolia,Austromyrtus,0.021418671158565772
Backhousia angustifolia,Backhousia,0.06206320786442987
Backhousia bancroftii,Backhousia,0.08907891959196146
Backhousia citriodora,Backhousia,0.4166556496148077
Backhousia enata,Backhousia,0.18400999937301954
Backhousia gundarara,Backhousia,0.03672693654954351
Backhousia hughesii,Backhousia,0.126431817095626
Backhousia leptopetala,Backhousia,0.3382939625326449
Backhousia myrtifolia,Backhousia,0.15952546709187043
Backhousia oligantha,Backhousia,0.5702068773733329
Backhousia sciadophora,Backhousia,0.07944990872216451
Backhousia subargentea,Backhousia,0.05193494895929085
Callistemon formosus,Callistemon,0.0698656471886201
Callistemon pachyphyllus,Callistemon,0.055825192829805914
Callistemon polandii,Callistemon,0.33589049649848324
Callistemon salignus,Callistemon,0.03696693198714307
Callistemon sieberi,Callistemon,0.22638812856859758
