Species,Genus,Damage
,Acacia,0.0
acmena smithii,Acmena,0.0323
acmena smithii,Acmena,0.1333
acmena smithii,Acmena,0.21
archirhodomyrtus beckleri,Archirhodomyrtus,0.9385
archirhodomyrtus beckleri,Archirhodomyrtus,0.9755
archirhodomyrtus beckleri,Archirhodomyrtus,0.9143
baeckea linifolia,Baeckea,0.11
Corymbia maculata,Corymbia,0.0
decaspermum humile,Decaspermum,0.3333
decaspermum humile,Decaspermum,1.0
decaspermum humile,Decaspermum,1.0
Eugenia reinwardtiana,Eugenia,0.5
eugenia koolauensis,Eugenia,0.7
Eucalyptus grandis x Eucalyptus urophylla clone ,Eucalyptus,0.89
Eucalyptus grandis x Eucalyptus urophylla clone ,Eucalyptus,0.34
Eucalyptus grandis ,Eucalyptus,0.23
E. globulus,Eucalyptus,0.0
gossia hillii,Gossia,1.0
gossia hillii,Gossia,0.9687
gossia hillii,Gossia,1.0
Leptospermum laevigatum,Leptospermum,0.24
Lophostemon confertus,Lophostemon,0.0
Melaleuca quinquenervia,Melaleuca,0.45
Melaleuca squarrosa,Melaleuca,0.0
Metrosideros polymorpha,Metrosideros,0.08
rhodamnia maideniana,Rhodamnia,1.0
rhodamnia maideniana,Rhodamnia,0.9342
rhodamnia rubescens,Rhodamnia,0.12
rhodamnia rubescens,Rhodamnia,0.53
rhodomyrtus psidioides,Rhodomyrtus,0.57
Agonis flexuosa,Agonis,0.8975022649415244
Asteromyrtus brassii,Asteromyrtus,0.10632822391073612
Austromyrtus dulcis,Austromyrtus,0.5178955207909434
Austromyrtus tenuifolia,Austromyrtus,0.09414227664366306
Backhousia angustifolia,Backhousia,0.05554563638721291
Backhousia bancroftii,Backhousia,0.10348447941265707
Backhousia citriodora,Backhousia,0.414725958334785
Backhousia enata,Backhousia,0.12916727077834803
Backhousia gundarara,Backhousia,0.07110863426460082
Backhousia hughesii,Backhousia,0.1619197074678729
Backhousia leptopetala,Backhousia,0.4803287532862257
Backhousia myrtifolia,Backhousia,0.0349515032047997
Backhousia oligantha,Backhousia,0.4937084658152613
Backhousia sciadophora,Backhousia,0.12578804065837854
Backhousia subargentea,Backhousia,0.10337308164905065
Callistemon formosus,Callistemon,0.023086799104953898
Callistemon pachyphyllus,Callistemon,0.06643089974333641
Callistemon polandii,Callistemon,0.520371587749966
Callistemon salignus,Callistemon,0.12827571263749685
Callistemon sieberi,Callistemon,0.45496411533103465
