Species,Genus,Damage
,Acacia,0.0
acmena smithii,Acmena,0.0323
acmena smithii,Acmena,0.1333
acmena smithii,Acmena,0.21
archirhodomyrtus beckleri,Archirhodomyrtus,0.9385
archirhodomyrtus beckleri,Archirhodomyrtus,0.9755
archirhodomyrtus beckleri,Archirhodomyrtus,0.9143
baeckea linifolia,Baeckea,0.11
Corymbia maculata,Corymbia,0.0
decaspermum humile,Decaspermum,0.3333
decaspermum humile,Decaspermum,1.0
decaspermum humile,Decaspermum,1.0
Eugenia reinwardtiana,Eugenia,0.5
eugenia koolauensis,Eugenia,0.7
Eucalyptus grandis x Eucalyptus urophylla clone ,Eucalyptus,0.89
Eucalyptus grandis x Eucalyptus urophylla clone ,Eucalyptus,0.34
Eucalyptus grandis ,Eucalyptus,0.23
E. globulus,Eucalyptus,0.0
gossia hillii,Gossia,1.0
gossia hillii,Gossia,0.9687
gossia hillii,Gossia,1.0
Leptospermum laevigatum,Leptospermum,0.24
Lophostemon confertus,Lophostemon,0.0
Melaleuca quinquenervia,Melaleuca,0.45
Melaleuca squarrosa,Melaleuca,0.0
Metrosideros polymorpha,Metrosideros,0.08
rhodamnia maideniana,Rhodamnia,1.0
rhodamnia maideniana,Rhodamnia,0.9342
rhodamnia rubescens,Rhodamnia,0.12
rhodamnia rubescens,Rhodamnia,0.53
rhodomyrtus psidioides,Rhodomyrtus,0.57
Agonis flexuosa,Agonis,0.8241480238207699
Asteromyrtus brassii,Asteromyrtus,0.07876253537637012
Austromyrtus dulcis,Austromyrtus,0.39198352455043417
Austromyrtus tenuifolia,Austromyrtus,0.08639714512680796
Backhousia angustifolia,Backhousia,0.06745354193759923
Backhousia bancroftii,Backhousia,0.09749940927963618
Backhousia citriodora,Backhousia,0.16079374066363394
Backhousia enata,Backhousia,0.31496803081163205
Backhousia gundarara,Backhousia,0.007910320919312985
Backhousia hughesii,Backhousia,0.17338540953223935
Backhousia leptopetala,Backhousia,0.03572022054074675
Backhousia myrtifolia,Backhousia,0.12305994825373046
Backhousia oligantha,Backhousia,0.18032595983920308
Backhousia sciadophora,Backhousia,0.13084308255602872
Backhousia subargentea,Backhousia,0.11580584743027766
Callistemon formosus,Callistemon,0.03138027475145333
Callistemon pachyphyllus,Callistemon,0.1324894315917775
Callistemon polandii,Callistemon,0.4607150243757345
Callistemon salignus,Callistemon,0.08425778036815301
Callistemon sieberi,Callistemon,0.5162471522582495
