Species,Genus,Damage
,Acacia,0.0
acmena smithii,Acmena,0.0323
acmena smithii,Acmena,0.1333
acmena smithii,Acmena,0.21
archirhodomyrtus beckleri,Archirhodomyrtus,0.9385
archirhodomyrtus beckleri,Archirhodomyrtus,0.9755
archirhodomyrtus beckleri,Archirhodomyrtus,0.9143
baeckea linifolia,Baeckea,0.11
Corymbia maculata,Corymbia,0.0
decaspermum humile,Decaspermum,0.3333
decaspermum humile,Decaspermum,1.0
decaspermum humile,Decaspermum,1.0
Eugenia reinwardtiana,Eugenia,0.5
eugenia koolauensis,Eugenia,0.7
Eucalyptus grandis x Eucalyptus urophylla clone ,Eucalyptus,0.89
Eucalyptus grandis x Eucalyptus urophylla clone ,Eucalyptus,0.34
Eucalyptus grandis ,Eucalyptus,0.23
E. globulus,Eucalyptus,0.0
gossia hillii,Gossia,1.0
gossia hillii,Gossia,0.9687
gossia hillii,Gossia,1.0
Leptospermum laevigatum,Leptospermum,0.24
Lophostemon confertus,Lophostemon,0.0
Melaleuca quinquenervia,Melaleuca,0.45
Melaleuca squarrosa,Melaleuca,0.0
Metrosideros polymorpha,Metrosideros,0.08
rhodamnia maideniana,Rhodamnia,1.0
rhodamnia maideniana,Rhodamnia,0.9342
rhodamnia rubescens,Rhodamnia,0.12
rhodamnia rubescens,Rhodamnia,0.53
rhodomyrtus psidioides,Rhodomyrtus,0.57
Agonis flexuosa,Agonis,0.890469905451496
Asteromyrtus brassii,Asteromyrtus,0.07381597003529983
Austromyrtus dulcis,Austromyrtus,0.15016825390976685
Austromyrtus tenuifolia,Austromyrtus,0.027057696641214157
Backhousia angustifolia,Backhousia,0.10422426403928942
Backhousia bancroftii,Backhousia,0.019322032426402735
Backhousia citriodora,Backhousia,0.1952082643389308
Backhousia enata,Backhousia,0.3597816310956996
Backhousia gundarara,Backhousia,0.06252284244576378
Backhousia hughesii,Backhousia,0.2558100336127693
Backhousia leptopetala,Backhousia,0.31248380404251597
Backhousia myrtifolia,Backhousia,0.3395292130785945
Backhousia oligantha,Backhousia,0.25654848230486715
Backhousia sciadophora,Backhousia,0.0014643422317286436
Backhousia subargentea,Backhousia,0.0705355526359761
Callistemon formosus,Callistemon,0.12503328674480807
Callistemon pachyphyllus,Callistemon,0.06935762868700568
Callistemon polandii,Callistemon,0.39669751662706565
Callistemon salignus,Callistemon,0.007348315023361529
Callistemon sieberi,Callistemon,0.4168770009086131
