Species,Genus,Damage
,Acacia,0.0
acmena smithii,Acmena,0.0323
acmena smithii,Acmena,0.1333
acmena smithii,Acmena,0.21
archirhodomyrtus beckleri,Archirhodomyrtus,0.9385
archirhodomyrtus beckleri,Archirhodomyrtus,0.9755
archirhodomyrtus beckleri,Archirhodomyrtus,0.9143
baeckea linifolia,Baeckea,0.11
Corymbia maculata,Corymbia,0.0
decaspermum humile,Decaspermum,0.3333
decaspermum humile,Decaspermum,1.0
decaspermum humile,Decaspermum,1.0
Eugenia reinwardtiana,Eugenia,0.5
eugenia koolauensis,Eugenia,0.7
Eucalyptus grandis x Eucalyptus urophylla clone ,Eucalyptus,0.89
Eucalyptus grandis x Eucalyptus urophylla clone ,Eucalyptus,0.34
Eucalyptus grandis ,Eucalyptus,0.23
E. globulus,Eucalyptus,0.0
gossia hillii,Gossia,1.0
gossia hillii,Gossia,0.9687
gossia hillii,Gossia,1.0
Leptospermum laevigatum,Leptospermum,0.24
Lophostemon confertus,Lophostemon,0.0
Melaleuca quinquenervia,Melaleuca,0.45
Melaleuca squarrosa,Melaleuca,0.0
Metrosideros polymorpha,Metrosideros,0.08
rhodamnia maideniana,Rhodamnia,1.0
rhodamnia maideniana,Rhodamnia,0.9342
rhodamnia rubescens,Rhodamnia,0.12
rhodamnia rubescens,Rhodamnia,0.53
rhodomyrtus psidioides,Rhodomyrtus,0.57
Agonis flexuosa,Agonis,0.7517900734771236
Asteromyrtus brassii,Asteromyrtus,0.11497667313777893
Austromyrtus dulcis,Austromyrtus,0.14226530978023733
Austromyrtus tenuifolia,Austromyrtus,0.01766813928708677
Backhousia angustifolia,Backhousia,0.05781964812706475
Backhousia bancroftii,Backhousia,0.09311854697468103
Backhousia citriodora,Backhousia,0.21206661217462797
Backhousia enata,Backhousia,0.32884104742933795
Backhousia gundarara,Backhousia,0.04528892451668887
Backhousia hughesii,Backhousia,0.22526930576909676
Backhousia leptopetala,Backhousia,0.042082218585809295
Backhousia myrtifolia,Backhousia,0.03536859387305347
Backhousia oligantha,Backhousia,0.43685209539568925
Backhousia sciadophora,Backhousia,0.10111150748017239
Backhousia subargentea,Backhousia,0.052965888111070836
Callistemon formosus,Callistemon,0.08217398295310652
Callistemon pachyphyllus,Callistemon,0.05435147473006463
Callistemon polandii,Callistemon,0.6030056668084333
Callistemon salignus,Callistemon,0.017621923780386517
Callistemon sieberi,Callistemon,0.43899369359393436
