Species,Genus,Damage
,Acacia,0.0
acmena smithii,Acmena,0.0323
acmena smithii,Acmena,0.1333
acmena smithii,Acmena,0.21
archirhodomyrtus beckleri,Archirhodomyrtus,0.9385
archirhodomyrtus beckleri,Archirhodomyrtus,0.9755
archirhodomyrtus beckleri,Archirhodomyrtus,0.9143
baeckea linifolia,Baeckea,0.11
Corymbia maculata,Corymbia,0.0
decaspermum humile,Decaspermum,0.3333
decaspermum humile,Decaspermum,1.0
decaspermum humile,Decaspermum,1.0
Eugenia reinwardtiana,Eugenia,0.5
eugenia koolauensis,Eugenia,0.7
Eucalyptus grandis x Eucalyptus urophylla clone ,Eucalyptus,0.89
Eucalyptus grandis x Eucalyptus urophylla clone ,Eucalyptus,0.34
Eucalyptus grandis ,Eucalyptus,0.23
E. globulus,Eucalyptus,0.0
gossia hillii,Gossia,1.0
gossia hillii,Gossia,0.9687
gossia hillii,Gossia,1.0
Leptospermum laevigatum,Leptospermum,0.24
Lophostemon confertus,Lophostemon,0.0
Melaleuca quinquenervia,Melaleuca,0.45
Melaleuca squarrosa,Melaleuca,0.0
Metrosideros polymorpha,Metrosideros,0.08
rhodamnia maideniana,Rhodamnia,1.0
rhodamnia maideniana,Rhodamnia,0.9342
rhodamnia rubescens,Rhodamnia,0.12
rhodamnia rubescens,Rhodamnia,0.53
rhodomyrtus psidioides,Rhodomyrtus,0.57
Agonis flexuosa,Agonis,0.5156544700205243
Asteromyrtus brassii,Asteromyrtus,0.11277747793418991
Austromyrtus dulcis,Austromyrtus,0.14514132814445935
Austromyrtus tenuifolia,Austromyrtus,0.003326558827856374
Backhousia angustifolia,Backhousia,0.04402172725713349
Backhousia bancroftii,Backhousia,0.020000345617238402
Backhousia citriodora,Backhousia,0.2551411498292593
Backhousia enata,Backhousia,0.00973744243234842
Backhousia gundarara,Backhousia,0.08694285356991971
Backhousia hughesii,Backhousia,0.1625090425037783
Backhousia leptopetala,Backhousia,0.10329376034222415
Backhousia myrtifolia,Backhousia,0.19071792040266722
Backhousia oligantha,Backhousia,0.261541986202777
Backhousia sciadophora,Backhousia,0.06053432966922978
Backhousia subargentea,Backhousia,0.09282647643465802
Callistemon formosus,Callistemon,0.04582326262411751
Callistemon pachyphyllus,Callistemon,0.02646824558415739
Callistemon polandii,Callistemon,0.42853995665184375
Callistemon salignus,Callistemon,0.03562344004910267
Callistemon sieberi,Callistemon,0.37710465867626963
