ID,Site,Source,Habit6,Family,Genus,Species,Sub species,Lat*,Long*,Age<20?,Type of system,Type of system,EcoRegion,MAT,MAR,Tree height (m),Stem diameter at 10 cm height (cm),Stem diameter at 30 cm height (cm),Stem diameter at 50 cm height (cm),Stem diameter at 130 cm height (cm),Total AGB (DW kg),Total BGB (DW kg)_Estimated value based on adjustments to consider stump biomass & root excavation volume 
956,Carter_Huxley2,"Hawkins, C., Carter, J., Paul, K., Siggins, A., Opie, K., Oliver, Y., Short, T., Moore, A., Reeson, A., Almeida, A., Crawford, D., Jovanovic, T., Larmour, J. Bruce, J. (2010). Farming Landscapes for the future: Report to Avongro wheatbelt tree cropping. CSIRO Technical Report.",FShrub&Ac,Santalaceae,Santalum,spicatum,NA,-30.8,117.7,Yes,Planted,Environmental planting,"Mediterranean Forests, Woodlands and Scrub",18.63,319.71,0.65,0.70,NA,NA,NA,0.01,0.00
957,Carter_Lloyd,"Hawkins, C., Carter, J., Paul, K., Siggins, A., Opie, K., Oliver, Y., Short, T., Moore, A., Reeson, A., Almeida, A., Crawford, D., Jovanovic, T., Larmour, J. Bruce, J. (2010). Farming Landscapes for the future: Report to Avongro wheatbelt tree cropping. CSIRO Technical Report.",FShrub&Ac,Santalaceae,Santalum,spicatum,NA,-31.5,116.5,Yes,Planted,Environmental planting,"Mediterranean Forests, Woodlands and Scrub",17.61,489.24,1.10,1.90,NA,NA,NA,0.16,0.02
958,Carter_Lloyd,"Hawkins, C., Carter, J., Paul, K., Siggins, A., Opie, K., Oliver, Y., Short, T., Moore, A., Reeson, A., Almeida, A., Crawford, D., Jovanovic, T., Larmour, J. Bruce, J. (2010). Farming Landscapes for the future: Report to Avongro wheatbelt tree cropping. CSIRO Technical Report.",FShrub&Ac,Santalaceae,Santalum,spicatum,NA,-31.5,116.5,Yes,Planted,Environmental planting,"Mediterranean Forests, Woodlands and Scrub",17.61,489.24,1.54,3.30,NA,NA,NA,0.46,0.13
959,Carter_Jackson,"Hawkins, C., Carter, J., Paul, K., Siggins, A., Opie, K., Oliver, Y., Short, T., Moore, A., Reeson, A., Almeida, A., Crawford, D., Jovanovic, T., Larmour, J. Bruce, J. (2010). Farming Landscapes for the future: Report to Avongro wheatbelt tree cropping. CSIRO Technical Report.",FShrub&Ac,Santalaceae,Santalum,spicatum,NA,-31.5,116.4,Yes,Planted,Environmental planting,"Mediterranean Forests, Woodlands and Scrub",18.16,538.72,2.74,9.10,NA,NA,NA,15.20,3.26
960,Carter_Jackson,"Hawkins, C., Carter, J., Paul, K., Siggins, A., Opie, K., Oliver, Y., Short, T., Moore, A., Reeson, A., Almeida, A., Crawford, D., Jovanovic, T., Larmour, J. Bruce, J. (2010). Farming Landscapes for the future: Report to Avongro wheatbelt tree cropping. CSIRO Technical Report.",FShrub&Ac,Santalaceae,Santalum,spicatum,NA,-31.5,116.4,Yes,Planted,Environmental planting,"Mediterranean Forests, Woodlands and Scrub",18.16,538.72,3.00,6.90,NA,NA,NA,7.49,2.28
961,Carter_Wansborough,"Hawkins, C., Carter, J., Paul, K., Siggins, A., Opie, K., Oliver, Y., Short, T., Moore, A., Reeson, A., Almeida, A., Crawford, D., Jovanovic, T., Larmour, J. Bruce, J. (2010). Farming Landscapes for the future: Report to Avongro wheatbelt tree cropping. CSIRO Technical Report.",FShrub&Ac,Santalaceae,Santalum,spicatum,NA,-32.1,116.9,Yes,Planted,Environmental planting,"Mediterranean Forests, Woodlands and Scrub",17.11,424.20,3.05,18.90,NA,NA,NA,62.23,24.06
962,Carter_Wansborough,"Hawkins, C., Carter, J., Paul, K., Siggins, A., Opie, K., Oliver, Y., Short, T., Moore, A., Reeson, A., Almeida, A., Crawford, D., Jovanovic, T., Larmour, J. Bruce, J. (2010). Farming Landscapes for the future: Report to Avongro wheatbelt tree cropping. CSIRO Technical Report.",FShrub&Ac,Santalaceae,Santalum,spicatum,NA,-32.1,116.9,Yes,Planted,Environmental planting,"Mediterranean Forests, Woodlands and Scrub",17.11,424.20,2.80,17.50,NA,NA,NA,58.68,19.53
963,Carter_MacTaggart,"Hawkins, C., Carter, J., Paul, K., Siggins, A., Opie, K., Oliver, Y., Short, T., Moore, A., Reeson, A., Almeida, A., Crawford, D., Jovanovic, T., Larmour, J. Bruce, J. (2010). Farming Landscapes for the future: Report to Avongro wheatbelt tree cropping. CSIRO Technical Report.",FShrub&Ac,Santalaceae,Santalum,spicatum,NA,-30.8,117.3,Yes,Planted,Environmental planting,"Mediterranean Forests, Woodlands and Scrub",18.68,325.60,1.40,5.00,NA,NA,NA,2.27,1.06
964,Carter_MacTaggart,"Hawkins, C., Carter, J., Paul, K., Siggins, A., Opie, K., Oliver, Y., Short, T., Moore, A., Reeson, A., Almeida, A., Crawford, D., Jovanovic, T., Larmour, J. Bruce, J. (2010). Farming Landscapes for the future: Report to Avongro wheatbelt tree cropping. CSIRO Technical Report.",FShrub&Ac,Santalaceae,Santalum,spicatum,NA,-30.8,117.3,Yes,Planted,Environmental planting,"Mediterranean Forests, Woodlands and Scrub",18.68,325.60,0.50,1.60,NA,NA,NA,0.05,0.04
965,Carter_MacTaggart,"Hawkins, C., Carter, J., Paul, K., Siggins, A., Opie, K., Oliver, Y., Short, T., Moore, A., Reeson, A., Almeida, A., Crawford, D., Jovanovic, T., Larmour, J. Bruce, J. (2010). Farming Landscapes for the future: Report to Avongro wheatbelt tree cropping. CSIRO Technical Report.",FShrub&Ac,Santalaceae,Santalum,spicatum,NA,-30.8,117.3,Yes,Planted,Environmental planting,"Mediterranean Forests, Woodlands and Scrub",18.68,325.60,1.50,4.50,NA,NA,NA,2.59,1.08
1036,Carter_Davey1,"Hawkins, C., Carter, J., Paul, K., Siggins, A., Opie, K., Oliver, Y., Short, T., Moore, A., Reeson, A., Almeida, A., Crawford, D., Jovanovic, T., Larmour, J. Bruce, J. (2010). Farming Landscapes for the future: Report to Avongro wheatbelt tree cropping. CSIRO Technical Report.",FShrub&Ac,Myrtaceae,Melaleuca,uncinata,NA,-31.0,116.8,Yes,Planted,Hardwood Plantation,"Mediterranean Forests, Woodlands and Scrub",18.34,357.23,2.55,15.84,NA,NA,NA,24.15,3.69
1037,Carter_Davey1,"Hawkins, C., Carter, J., Paul, K., Siggins, A., Opie, K., Oliver, Y., Short, T., Moore, A., Reeson, A., Almeida, A., Crawford, D., Jovanovic, T., Larmour, J. Bruce, J. (2010). Farming Landscapes for the future: Report to Avongro wheatbelt tree cropping. CSIRO Technical Report.",FShrub&Ac,Myrtaceae,Melaleuca,uncinata,NA,-31.0,116.8,Yes,Planted,Hardwood Plantation,"Mediterranean Forests, Woodlands and Scrub",18.34,357.23,2.55,12.10,NA,NA,NA,18.67,3.88
1040,Carter_Hall,"Hawkins, C., Carter, J., Paul, K., Siggins, A., Opie, K., Oliver, Y., Short, T., Moore, A., Reeson, A., Almeida, A., Crawford, D., Jovanovic, T., Larmour, J. Bruce, J. (2010). Farming Landscapes for the future: Report to Avongro wheatbelt tree cropping. CSIRO Technical Report.",FShrub&Ac,Myrtaceae,Melaleuca,uncinata,NA,-32.3,117.2,Yes,Planted,Hardwood Plantation,"Mediterranean Forests, Woodlands and Scrub",16.91,354.72,1.30,4.40,NA,NA,NA,1.59,0.33
1041,Carter_Hall,"Hawkins, C., Carter, J., Paul, K., Siggins, A., Opie, K., Oliver, Y., Short, T., Moore, A., Reeson, A., Almeida, A., Crawford, D., Jovanovic, T., Larmour, J. Bruce, J. (2010). Farming Landscapes for the future: Report to Avongro wheatbelt tree cropping. CSIRO Technical Report.",FShrub&Ac,Myrtaceae,Melaleuca,uncinata,NA,-32.3,117.2,Yes,Planted,Hardwood Plantation,"Mediterranean Forests, Woodlands and Scrub",16.91,354.72,1.40,3.90,NA,NA,NA,1.78,0.36
1042,Carter_Elt,"Hawkins, C., Carter, J., Paul, K., Siggins, A., Opie, K., Oliver, Y., Short, T., Moore, A., Reeson, A., Almeida, A., Crawford, D., Jovanovic, T., Larmour, J. Bruce, J. (2010). Farming Landscapes for the future: Report to Avongro wheatbelt tree cropping. CSIRO Technical Report.",FShrub&Ac,Myrtaceae,Melaleuca,uncinata,NA,-32.0,117.2,Yes,Planted,Hardwood Plantation,"Mediterranean Forests, Woodlands and Scrub",16.75,391.38,0.95,2.80,NA,NA,NA,0.28,0.06
1043,Carter_Elt,"Hawkins, C., Carter, J., Paul, K., Siggins, A., Opie, K., Oliver, Y., Short, T., Moore, A., Reeson, A., Almeida, A., Crawford, D., Jovanovic, T., Larmour, J. Bruce, J. (2010). Farming Landscapes for the future: Report to Avongro wheatbelt tree cropping. CSIRO Technical Report.",FShrub&Ac,Myrtaceae,Melaleuca,uncinata,NA,-32.0,117.2,Yes,Planted,Hardwood Plantation,"Mediterranean Forests, Woodlands and Scrub",16.75,391.38,0.79,2.40,NA,NA,NA,0.15,0.03
1595,McAurthur_AP6BG,Geoff McArthur pers. com.,FShrub&Ac,Gyrostemonaceae,Codonocarpus,cotinifolius,NA,-29.4,116.5,Yes,Planted,Environmental planting,"Mediterranean Forests, Woodlands and Scrub",19.85,316.61,5.20,NA,NA,NA,16.01,45.98,17.79
1596,McAurthur_AP6BG,Geoff McArthur pers. com.,FShrub&Ac,Gyrostemonaceae,Codonocarpus,cotinifolius,NA,-29.4,116.5,Yes,Planted,Environmental planting,"Mediterranean Forests, Woodlands and Scrub",19.85,316.61,4.70,NA,NA,NA,10.07,53.75,16.93
1598,McAurthur_S2,Geoff McArthur pers. com.,FShrub&Ac,Gyrostemonaceae,Codonocarpus,cotinifolius,NA,-28.9,116.0,Yes,Planted,Environmental planting,"Mediterranean Forests, Woodlands and Scrub",19.60,335.45,5.00,NA,NA,10.82,NA,25.71,23.61
1599,McAurthur_S2,Geoff McArthur pers. com.,FShrub&Ac,Gyrostemonaceae,Codonocarpus,cotinifolius,NA,-28.9,116.0,Yes,Planted,Environmental planting,"Mediterranean Forests, Woodlands and Scrub",19.60,335.45,4.30,NA,NA,8.84,NA,18.78,11.37
1600,McAurthur_S2,Geoff McArthur pers. com.,FShrub&Ac,Gyrostemonaceae,Codonocarpus,cotinifolius,NA,-28.9,116.0,Yes,Planted,Environmental planting,"Mediterranean Forests, Woodlands and Scrub",19.60,335.45,5.20,NA,NA,10.45,NA,19.74,12.49
1617,McAurthur_BigBilly3,Geoff McArthur pers. com.,FShrub&Ac,Myrtaceae,Melaleuca,NA,NA,-28.9,116.0,Yes,Planted,Environmental planting,"Mediterranean Forests, Woodlands and Scrub",19.93,320.93,2.20,5.61,NA,6.04,NA,5.50,1.30
1618,McAurthur_BigBilly3,Geoff McArthur pers. com.,FShrub&Ac,Myrtaceae,Melaleuca,NA,NA,-28.9,116.0,Yes,Planted,Environmental planting,"Mediterranean Forests, Woodlands and Scrub",19.93,320.93,1.80,5.80,NA,5.34,NA,4.50,1.17
1619,McAurthur_BigBilly3,Geoff McArthur pers. com.,FShrub&Ac,Myrtaceae,Melaleuca,NA,NA,-28.9,116.0,Yes,Planted,Environmental planting,"Mediterranean Forests, Woodlands and Scrub",19.93,320.93,1.90,5.42,NA,6.06,NA,3.89,1.36
1620,McAurthur_BigBilly3,Geoff McArthur pers. com.,FShrub&Ac,Myrtaceae,Melaleuca,NA,NA,-28.9,116.0,Yes,Planted,Environmental planting,"Mediterranean Forests, Woodlands and Scrub",19.93,320.93,2.20,7.96,NA,6.45,NA,12.36,5.16
1621,McAurthur_Fallow,Geoff McArthur pers. com.,FShrub&Ac,Myrtaceae,Melaleuca,NA,NA,-28.9,116.0,Yes,Planted,Environmental planting,"Mediterranean Forests, Woodlands and Scrub",19.80,325.80,2.00,NA,NA,7.37,NA,6.52,3.45
1622,McAurthur_Fallow,Geoff McArthur pers. com.,FShrub&Ac,Myrtaceae,Melaleuca,NA,NA,-28.9,116.0,Yes,Planted,Environmental planting,"Mediterranean Forests, Woodlands and Scrub",19.80,325.80,2.10,NA,NA,6.13,NA,6.61,1.60
1623,McAurthur_Fallow,Geoff McArthur pers. com.,FShrub&Ac,Myrtaceae,Melaleuca,NA,NA,-28.9,116.0,Yes,Planted,Environmental planting,"Mediterranean Forests, Woodlands and Scrub",19.80,325.80,2.50,NA,NA,9.48,NA,15.53,2.90
1624,McAurthur_Fallow,Geoff McArthur pers. com.,FShrub&Ac,Myrtaceae,Melaleuca,NA,NA,-28.9,116.0,Yes,Planted,Environmental planting,"Mediterranean Forests, Woodlands and Scrub",19.80,325.80,2.50,NA,NA,6.20,NA,8.13,1.44
1625,McAurthur_Fallow,Geoff McArthur pers. com.,FShrub&Ac,Myrtaceae,Melaleuca,NA,NA,-28.9,116.0,Yes,Planted,Environmental planting,"Mediterranean Forests, Woodlands and Scrub",19.80,325.80,2.70,NA,NA,9.21,NA,15.00,4.15
1644,McAurthur_PRPov,Geoff McArthur pers. com.,FShrub&Ac,Scrophulariaceae,Eremophila,NA,NA,-29.4,116.5,Yes,Planted,Environmental planting,"Mediterranean Forests, Woodlands and Scrub",19.85,316.61,1.00,NA,NA,3.54,NA,1.30,0.18
1645,McAurthur_PRPov,Geoff McArthur pers. com.,FShrub&Ac,Scrophulariaceae,Eremophila,NA,NA,-29.4,116.5,Yes,Planted,Environmental planting,"Mediterranean Forests, Woodlands and Scrub",19.85,316.61,1.35,NA,NA,3.93,NA,2.70,0.61
1646,McAurthur_PRPov,Geoff McArthur pers. com.,FShrub&Ac,Scrophulariaceae,Eremophila,NA,NA,-29.4,116.5,Yes,Planted,Environmental planting,"Mediterranean Forests, Woodlands and Scrub",19.85,316.61,1.70,NA,NA,5.72,NA,4.25,0.79
1647,McAurthur_PRPov,Geoff McArthur pers. com.,FShrub&Ac,Scrophulariaceae,Eremophila,NA,NA,-29.4,116.5,Yes,Planted,Environmental planting,"Mediterranean Forests, Woodlands and Scrub",19.85,316.61,1.50,NA,NA,6.28,NA,6.00,1.32
