theta_RT,theta_MS,theta_HS,mean,sd
0.12372609491007167,0.4497995616684947,0.48710313141788975,-2.0643456868516474,0.6910117733909205
0.11316252899524107,0.34210011388501543,0.6671474814351572,-3.40945834636114,0.9107229907093406
0.1274386135643417,0.40067404026641823,0.561498333903297,-2.8890962500947546,1.1966526459094107
0.1029726412030513,0.2606128540833426,0.6469021343764164,-2.625685790272525,0.9898842567525501
0.15167086593601917,0.5026818165559864,0.6015764695444422,-0.9813067271988302,0.7228793413602919
0.10342173846940153,0.3973605082704399,0.521659532263943,-2.2493778618508347,0.8112886158381738
0.06422559453631008,0.24107017887493393,0.529449094777029,-2.434682384751499,0.817179806608368
0.12460096878314791,0.2563765451898923,0.4952837944115056,-3.007090888776955,1.0823173205179826
0.1523276320506201,0.4371358657622741,0.601555696784171,-3.2310214716534347,0.8155848865601978
0.19664492653275267,0.38262497324498645,0.6038927332060023,-1.6451760658780337,0.8867813328862906
