theta_RT,theta_MS,theta_HS,mean,sd
0.11735154764436367,0.2580684479171836,0.5236243733605951,-1.5315123288714994,0.7157668434440267
0.13753474367512353,0.3076521623926849,0.5217601266051778,-4.360800968068732,1.1065652976452267
0.07306845278973229,0.2292471652823,0.5621654155502495,-2.9436889469199268,0.7122360407025152
0.0666248370193683,0.2891465610515317,0.5206927229031728,-0.9511769608000499,0.4919142547307098
0.07368288570347681,0.2359740929215784,0.5459504497273109,-1.222633958550497,0.62013013413041
0.0828683578583852,0.21968096799370995,0.5571682688388735,-0.9732852468494219,0.44242465205343695
0.11070868269526593,0.23446357783162525,0.49982132818727243,-2.012014131367839,0.5199117412107612
0.07874828924034419,0.3082339491005408,0.5483830908524705,-1.7023322954599998,0.772605284201271
0.1071355596766374,0.2730640082041166,0.47060628681870903,-2.5946342554588764,0.9000124783204777
0.10620081439040852,0.31839497626784374,0.5442312408315267,-2.342750109321292,0.7232873934786888
