theta_RT,theta_MS,theta_HS,mean,sd
0.040074435325563706,0.4206584601840162,0.6833168237874997,2.8930042963636047,0.6185555504560725
0.6416164364370744,0.7885399951835874,0.9478783217445436,-0.9865783373350281,9.966680762658251
0.20566124984321876,0.5385165155242814,0.937816134551987,-1.035305548261696,1.7857329246624198
0.1772157585966218,0.9020574440465678,0.9688019881623886,1.1017912696944006,7.246495900409564
0.15775284302450918,0.4349952441273458,0.9185385570357303,0.1975960587745295,4.270992522212494
0.17786029163056552,0.47702962047585,0.9543003715671825,1.0232674524710792,7.884777375925855
0.4291780763007129,0.47932906443487183,0.9482724114470091,-1.0312659268440587,6.499824644503111
0.04352305816853938,0.4661868979663898,0.6308422915540457,0.09522732272831226,3.062327787760651
0.2120354617552839,0.3973652115881445,0.5308843084628718,2.283972231068472,1.4840208345385808
0.3810924681171265,0.4199388531769199,0.5586763836476093,2.671315105158993,7.1828070269942
