"model","ssp_scenario","threshold_val","sample_id","Damage"
"MPI-ESM1-2-LR","ssp126",0.5,4,388290298.838246
"ACCESS-CM2","ssp245",0.5,4,322519574.651494
"CNRM-CM6-1-HR","ssp245",0.5,4,250925589.15558
"MPI-ESM1-2-LR","ssp245",0.5,4,216462835.121243
"ACCESS-CM2","ssp370",0.5,4,359723121.424855
"CNRM-CM6-1-HR","ssp370",0.5,4,333470854.071771
"MPI-ESM1-2-LR","ssp370",0.5,4,198847234.404546
"ACCESS-CM2","historical",0.2,5,539359912.708085
"CNRM-CM6-1-HR","historical",0.2,5,723856003.884439
"MPI-ESM1-2-LR","historical",0.2,5,583905687.65862
"ACCESS-CM2","ssp126",0.2,5,545235131.501288
"CNRM-CM6-1-HR","ssp126",0.2,5,545231658.37281
"MPI-ESM1-2-LR","ssp126",0.2,5,609833024.051691
"ACCESS-CM2","ssp245",0.2,5,652530836.490036
"CNRM-CM6-1-HR","ssp245",0.2,5,518148073.867787
"MPI-ESM1-2-LR","ssp245",0.2,5,430458229.030426
"ACCESS-CM2","ssp370",0.2,5,468132087.754152
"CNRM-CM6-1-HR","ssp370",0.2,5,532966196.877775
"MPI-ESM1-2-LR","ssp370",0.2,5,389137928.816948
"ACCESS-CM2","historical",0.5,5,322771516.684633
"CNRM-CM6-1-HR","historical",0.5,5,410276153.92312
"MPI-ESM1-2-LR","historical",0.5,5,277318039.675382
"ACCESS-CM2","ssp126",0.5,5,251781215.462367
"CNRM-CM6-1-HR","ssp126",0.5,5,239485008.026557
"MPI-ESM1-2-LR","ssp126",0.5,5,323183867.269915
"ACCESS-CM2","ssp245",0.5,5,268295206.632881
"CNRM-CM6-1-HR","ssp245",0.5,5,208832781.309438
"MPI-ESM1-2-LR","ssp245",0.5,5,180054385.144319
"ACCESS-CM2","ssp370",0.5,5,299416606.065384
"CNRM-CM6-1-HR","ssp370",0.5,5,277576107.781754
"MPI-ESM1-2-LR","ssp370",0.5,5,165438344.294873
"ACCESS-CM2","historical",0.2,6,605564391.184672
"CNRM-CM6-1-HR","historical",0.2,6,812719309.670008
"MPI-ESM1-2-LR","historical",0.2,6,655582879.115103
"ACCESS-CM2","ssp126",0.2,6,612156264.009732
"CNRM-CM6-1-HR","ssp126",0.2,6,612152343.835126
"MPI-ESM1-2-LR","ssp126",0.2,6,684688796.233423
"ACCESS-CM2","ssp245",0.2,6,732619713.100098
"CNRM-CM6-1-HR","ssp245",0.2,6,581747824.184529
"MPI-ESM1-2-LR","ssp245",0.2,6,483287930.021572
"ACCESS-CM2","ssp370",0.2,6,525572982.058452
"CNRM-CM6-1-HR","ssp370",0.2,6,598383538.628433
"MPI-ESM1-2-LR","ssp370",0.2,6,436889382.863779
"ACCESS-CM2","historical",0.5,6,362383925.467637
"CNRM-CM6-1-HR","historical",0.5,6,460626334.022656
"MPI-ESM1-2-LR","historical",0.5,6,311345965.253107
"ACCESS-CM2","ssp126",0.5,6,282668956.447301
"CNRM-CM6-1-HR","ssp126",0.5,6,268860883.904112
"MPI-ESM1-2-LR","ssp126",0.5,6,362838173.372809
"ACCESS-CM2","ssp245",0.5,6,301198636.711848
"CNRM-CM6-1-HR","ssp245",0.5,6,234448582.417359
"MPI-ESM1-2-LR","ssp245",0.5,6,202137577.151119
"ACCESS-CM2","ssp370",0.5,6,336143859.25562
"CNRM-CM6-1-HR","ssp370",0.5,6,311630723.818445
"MPI-ESM1-2-LR","ssp370",0.5,6,185722140.30377
"ACCESS-CM2","historical",0.2,7,563026252.895799
"CNRM-CM6-1-HR","historical",0.2,7,755599030.511334
"MPI-ESM1-2-LR","historical",0.2,7,609616799.647411
"ACCESS-CM2","ssp126",0.2,7,569107133.282105
"CNRM-CM6-1-HR","ssp126",0.2,7,569118043.410413
"MPI-ESM1-2-LR","ssp126",0.2,7,636460134.370774
"ACCESS-CM2","ssp245",0.2,7,681258613.278502
"CNRM-CM6-1-HR","ssp245",0.2,7,540825810.234756
"MPI-ESM1-2-LR","ssp245",0.2,7,449214073.228277
"ACCESS-CM2","ssp370",0.2,7,488495222.162855
"CNRM-CM6-1-HR","ssp370",0.2,7,556272780.52894
"MPI-ESM1-2-LR","ssp370",0.2,7,406171094.20616
"ACCESS-CM2","historical",0.5,7,336886603.188863
"CNRM-CM6-1-HR","historical",0.5,7,428132770.310826
"MPI-ESM1-2-LR","historical",0.5,7,289488891.378121
"ACCESS-CM2","ssp126",0.5,7,262832183.002181
"CNRM-CM6-1-HR","ssp126",0.5,7,249925069.619095
"MPI-ESM1-2-LR","ssp126",0.5,7,337213188.639916
"ACCESS-CM2","ssp245",0.5,7,280013858.492606
"CNRM-CM6-1-HR","ssp245",0.5,7,217906695.931072
"MPI-ESM1-2-LR","ssp245",0.5,7,187924036.301005
