"featureType","siteId","plotId","plotLength_metres","plotWidth_metres","latitude","longitude","startVisitDate","endVisitDate","phenomenonTime","standBiomass_tonnesPerHectare","comment"
"plant community","Calperum Mallee","Calperum Mallee, core1ha","100 m","100 m ",-34.00220833,140.586951,"10/11/2015","26/4/2016","10/11/2015",7.155038,"Biomass of burnt trunks"
"plant community","Calperum Mallee","Calperum Mallee, core1ha","100 m","100 m ",-34.00220833,140.586951,"1/6/2018","6/7/2018","1/6/2018",2.092546,"Biomass of regrowth stems"
